tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,MonthlyCharges,TotalCharges,MonthlyChargesPerTenure,TotalChargesPerTenure,Churn
15,2,2,0,0,0,99.1,1426.4,6.6066666666666665,95.09333333333333,1
25,2,0,0,2,0,69.5,1752.65,2.78,70.10600000000001,0
8,0,2,0,0,0,80.65,633.3,10.08125,79.1625,1
60,2,2,2,2,1,74.85,4456.35,1.2474999999999998,74.27250000000001,0
18,0,0,0,0,0,95.45,1752.55,5.302777777777778,97.36388888888888,1
63,2,0,0,0,1,99.65,6311.2,1.581746031746032,100.17777777777778,0
66,0,2,2,2,1,108.45,7076.35,1.6431818181818183,107.21742424242424,0
34,1,1,1,1,2,24.95,894.3,0.7338235294117647,26.302941176470586,0
72,0,0,2,2,2,107.5,7853.7,1.4930555555555556,109.07916666666667,0
47,0,0,2,0,0,100.5,4707.1,2.1382978723404253,100.15106382978725,0
60,0,2,0,0,0,89.9,5450.7,1.4983333333333335,90.845,0
72,2,2,2,0,2,42.1,2962.0,0.5847222222222223,41.138888888888886,0
18,0,0,2,2,1,54.4,957.1,3.022222222222222,53.172222222222224,0
9,0,0,0,0,0,94.4,857.25,10.488888888888889,95.25,1
3,0,2,0,2,0,75.3,244.1,25.099999999999998,81.36666666666666,0
47,0,2,0,0,1,78.9,3650.35,1.6787234042553192,77.66702127659575,0
31,0,2,2,2,2,79.2,2497.2,2.5548387096774197,80.55483870967741,0
50,1,1,1,1,2,20.15,930.9,0.40299999999999997,18.618,0
10,2,0,2,0,0,79.85,887.35,7.984999999999999,88.735,0
1,0,0,0,2,0,49.05,49.05,49.05,49.05,0
52,1,1,1,1,1,20.4,1090.65,0.3923076923076923,20.974038461538463,0
64,2,0,2,2,2,111.6,7099.0,1.74375,110.921875,0
62,1,1,1,1,2,24.25,1424.6,0.3911290322580645,22.97741935483871,0
3,2,0,0,2,0,64.5,177.4,21.5,59.13333333333333,0
56,2,2,2,0,1,110.5,6139.5,1.9732142857142858,109.63392857142857,0
46,0,0,0,0,1,55.65,2688.85,1.2097826086956522,58.45326086956521,0
8,2,2,0,0,0,54.65,482.25,6.83125,60.28125,0
30,2,2,0,0,0,74.75,2111.3,2.4916666666666667,70.37666666666668,0
45,1,1,1,1,1,25.9,1216.6,0.5755555555555555,27.035555555555554,0
1,0,0,0,0,0,79.35,79.35,79.35,79.35,1
11,2,0,0,0,0,50.55,565.35,4.595454545454545,51.39545454545455,0
7,0,0,2,0,0,75.15,496.9,10.735714285714286,70.98571428571428,1
42,0,2,2,2,0,103.8,4327.5,2.4714285714285715,103.03571428571429,0
49,1,1,1,1,2,20.15,973.35,0.41122448979591836,19.864285714285714,0
9,0,2,0,0,0,99.3,918.75,11.033333333333333,102.08333333333333,0
35,2,0,0,0,1,62.15,2215.45,1.7757142857142856,63.29857142857142,0
48,1,1,1,1,2,20.65,1057.0,0.4302083333333333,22.020833333333332,0
46,1,1,1,1,2,19.95,927.1,0.43369565217391304,20.15434782608696,0
29,0,0,0,0,0,33.75,1009.25,1.1637931034482758,34.80172413793103,0
30,0,2,2,0,0,82.05,2570.2,2.735,85.67333333333333,0
1,0,0,0,2,0,74.7,74.7,74.7,74.7,0
66,2,0,2,2,2,84.0,5714.25,1.2727272727272727,86.57954545454545,0
65,2,2,2,0,0,111.05,7107.0,1.7084615384615385,109.33846153846154,0
72,0,2,2,0,2,100.9,7459.05,1.401388888888889,103.59791666666666,0
12,2,0,0,0,0,78.95,927.35,6.579166666666667,77.27916666666667,1
71,2,2,0,2,1,66.85,4748.7,0.9415492957746479,66.8830985915493,0
5,1,1,1,1,0,21.05,113.85,4.21,22.77,1
52,1,1,1,1,2,21.0,1107.2,0.40384615384615385,21.292307692307695,0
25,0,2,2,0,0,98.5,2514.5,3.94,100.58,1
1,1,1,1,1,0,20.2,20.2,20.2,20.2,0
1,1,1,1,1,0,19.45,19.45,19.45,19.45,0
38,0,0,2,2,1,95.0,3605.6,2.5,94.88421052631578,0
66,0,2,2,0,1,45.55,3027.25,0.6901515151515151,45.86742424242424,0
68,0,2,2,2,2,110.0,7611.85,1.6176470588235294,111.93897058823529,1
5,0,0,0,0,0,24.3,100.2,4.86,20.04,0
72,2,2,0,0,1,104.15,7303.05,1.4465277777777779,101.43125,0
32,2,0,0,0,1,30.15,927.65,0.9421875,28.9890625,0
43,0,0,0,0,1,94.35,3921.3,2.1941860465116276,91.19302325581396,0
72,1,1,1,1,2,19.4,1363.25,0.26944444444444443,18.93402777777778,0
55,2,2,0,0,0,96.75,5238.9,1.759090909090909,95.25272727272727,1
52,2,0,2,2,1,57.95,3042.25,1.114423076923077,58.50480769230769,0
43,0,2,2,0,0,91.65,3954.1,2.1313953488372093,91.95581395348837,0
37,0,0,0,0,0,76.5,2868.15,2.0675675675675675,77.51756756756757,1
64,0,2,0,2,2,54.6,3423.5,0.853125,53.4921875,0
3,2,2,0,0,0,89.85,248.4,29.95,82.8,0
36,2,0,0,0,2,31.05,1126.35,0.8625,31.287499999999998,0
10,2,0,0,0,0,100.25,1064.65,10.025,106.465,1
41,1,1,1,1,2,20.65,835.15,0.5036585365853659,20.36951219512195,0
27,0,2,0,2,0,85.2,2151.6,3.1555555555555554,79.68888888888888,0
56,0,0,2,0,1,99.8,5515.45,1.782142857142857,98.49017857142857,0
6,1,1,1,1,0,20.7,112.75,3.4499999999999997,18.791666666666668,0
3,0,0,0,0,0,74.4,229.55,24.8,76.51666666666667,1
7,2,0,0,0,0,50.7,350.35,7.242857142857143,50.050000000000004,0
4,1,1,1,1,0,20.85,62.9,5.2125,15.725,0
33,2,0,0,2,2,88.95,3027.65,2.6954545454545453,91.7469696969697,0
27,0,0,2,0,0,78.05,2135.5,2.890740740740741,79.0925925925926,1
72,1,1,1,1,2,23.55,1723.95,0.32708333333333334,23.94375,0
1,1,1,1,1,0,19.75,19.75,19.75,19.75,0
71,2,2,0,0,1,56.45,3985.35,0.7950704225352113,56.131690140845066,0
13,0,0,0,0,0,85.95,1215.65,6.611538461538462,93.51153846153846,0
25,2,2,2,0,0,58.6,1502.65,2.344,60.106,1
67,0,0,0,2,2,50.55,3260.1,0.7544776119402985,48.65820895522388,0
1,0,0,0,0,0,35.45,35.45,35.45,35.45,1
2,0,0,0,0,0,44.35,81.25,22.175,40.625,1
43,1,1,1,1,2,25.7,1188.2,0.5976744186046511,27.632558139534886,0
23,2,0,0,0,0,75.0,1778.5,3.260869565217391,77.32608695652173,0
64,1,1,1,1,2,20.2,1277.75,0.315625,19.96484375,0
57,1,1,1,1,2,19.6,1170.55,0.34385964912280703,20.5359649122807,0
1,0,0,0,0,0,70.45,70.45,70.45,70.45,1
72,2,2,2,2,2,88.05,6425.65,1.2229166666666667,89.24513888888889,0
8,2,0,0,2,0,71.15,563.65,8.89375,70.45625,1
61,0,2,0,0,2,101.05,5971.25,1.6565573770491804,97.88934426229508,0
64,2,2,0,0,1,84.3,5289.05,1.3171875,82.64140625,0
71,1,1,1,1,2,23.95,1756.2,0.3373239436619718,24.735211267605635,0
65,2,2,0,2,2,99.05,6416.7,1.5238461538461539,98.71846153846154,0
3,1,1,1,1,1,19.6,61.35,6.533333333333334,20.45,0
1,0,0,0,0,0,45.65,45.65,45.65,45.65,1
30,0,2,2,0,1,64.5,1929.95,2.15,64.33166666666666,0
15,0,2,2,2,0,69.5,1071.4,4.633333333333334,71.42666666666668,0
8,0,0,0,2,0,68.55,564.35,8.56875,70.54375,0
7,0,0,0,0,0,95.0,655.5,13.571428571428571,93.64285714285714,1
70,2,2,2,0,1,108.15,7930.55,1.5450000000000002,113.29357142857143,0
62,2,2,2,2,2,86.1,5215.25,1.3887096774193548,84.11693548387096,0
6,1,1,1,1,0,19.7,113.5,3.283333333333333,18.916666666666668,0
14,0,0,0,0,0,80.9,1152.8,5.778571428571429,82.34285714285714,0
22,0,0,0,0,0,84.15,1821.95,3.825,82.81590909090909,0
22,1,1,1,1,1,20.15,419.9,0.9159090909090909,19.086363636363636,0
16,2,0,2,0,2,64.25,1024.0,4.015625,64.0,0
10,1,1,1,1,2,25.7,251.6,2.57,25.16,0
13,2,2,0,0,0,56.0,764.55,4.3076923076923075,58.81153846153846,0
20,2,0,0,0,0,82.4,1592.35,4.12,79.61749999999999,1
2,0,0,0,0,0,69.7,135.2,34.85,67.6,0
53,0,2,2,2,2,73.9,3958.25,1.3943396226415095,74.68396226415095,0
11,1,1,1,1,1,20.6,233.9,1.8727272727272728,21.263636363636365,0
69,1,1,1,1,2,19.9,1363.45,0.28840579710144926,19.76014492753623,0
4,0,0,0,0,0,70.9,273.0,17.725,68.25,1
72,2,2,2,2,2,89.05,6254.45,1.2368055555555555,86.86736111111111,0
58,0,2,2,0,0,45.3,2651.2,0.7810344827586206,45.710344827586205,1
16,1,1,1,1,0,20.4,321.4,1.275,20.0875,0
43,2,0,2,2,1,84.25,3539.25,1.9593023255813953,82.30813953488372,0
2,0,0,2,2,0,104.4,242.8,52.2,121.4,1
14,0,2,2,2,2,81.95,1181.75,5.853571428571429,84.41071428571429,0
53,0,0,2,0,1,94.85,5000.2,1.7896226415094338,94.3433962264151,1
32,1,1,1,1,1,20.55,654.55,0.6421875,20.4546875,0
34,1,1,1,1,0,24.7,780.2,0.7264705882352941,22.947058823529414,0
15,0,0,0,0,0,74.45,1145.7,4.963333333333334,76.38000000000001,1
7,2,0,0,0,0,76.45,503.6,10.921428571428573,71.94285714285715,1
15,0,2,2,0,0,105.35,1559.25,7.0233333333333325,103.95,0
61,1,1,1,1,1,20.55,1252.0,0.3368852459016394,20.524590163934427,0
1,0,2,0,0,0,29.95,29.95,29.95,29.95,1
1,0,0,0,0,0,45.3,45.3,45.3,45.3,0
8,0,0,0,0,0,84.5,662.65,10.5625,82.83125,1
33,2,0,2,0,1,74.75,2453.3,2.265151515151515,74.34242424242424,0
13,0,2,2,0,0,79.25,1111.65,6.096153846153846,85.51153846153846,1
1,0,0,0,0,0,24.8,24.8,24.8,24.8,1
20,0,2,0,0,0,51.8,1023.85,2.59,51.1925,0
3,0,0,0,2,0,30.4,82.15,10.133333333333333,27.383333333333336,0
13,1,1,1,1,1,19.65,244.8,1.5115384615384615,18.83076923076923,0
40,0,2,0,0,0,56.6,2379.1,1.415,59.4775,0
43,2,0,0,2,1,71.9,3173.35,1.672093023255814,73.79883720930232,0
6,0,2,2,0,0,91.0,531.0,15.166666666666666,88.5,1
69,1,1,1,1,2,19.75,1375.4,0.286231884057971,19.933333333333334,0
72,2,2,2,0,2,109.7,8129.3,1.5236111111111112,112.90694444444445,0
59,1,1,1,1,2,19.3,1192.7,0.3271186440677966,20.215254237288136,0
20,2,2,0,2,0,96.55,1901.65,4.8275,95.08250000000001,0
24,1,1,1,1,2,24.1,587.4,1.0041666666666667,24.474999999999998,0
59,0,2,2,2,0,111.35,6519.75,1.8872881355932203,110.5042372881356,0
72,0,2,2,2,2,112.25,8041.65,1.5590277777777777,111.68958333333333,0
1,1,1,1,1,0,20.75,20.75,20.75,20.75,0
27,2,0,0,2,1,101.9,2681.15,3.774074074074074,99.30185185185185,0
14,0,2,0,2,0,80.05,1112.3,5.7178571428571425,79.45,0
71,2,0,2,0,2,105.55,7405.5,1.486619718309859,104.30281690140845,0
13,0,0,0,0,0,78.3,1033.95,6.023076923076923,79.53461538461539,0
44,0,0,0,0,0,68.85,2958.95,1.5647727272727272,67.24886363636364,0
33,0,2,0,2,1,79.95,2684.85,2.422727272727273,81.35909090909091,0
72,2,2,2,2,2,55.45,4179.2,0.7701388888888889,58.044444444444444,0
1,0,0,0,0,0,79.9,79.9,79.9,79.9,1
19,2,0,2,2,0,106.6,1934.45,5.610526315789474,101.81315789473685,1
64,0,2,2,2,1,102.45,6654.1,1.60078125,103.9703125,0
2,0,0,0,0,0,46.0,84.5,23.0,42.25,1
1,0,0,0,0,0,25.25,25.25,25.25,25.25,0
61,1,1,1,1,2,19.75,1124.2,0.3237704918032787,18.42950819672131,0
29,1,1,1,1,1,20.0,540.05,0.6896551724137931,18.622413793103448,0
23,0,0,0,0,0,86.8,1975.85,3.773913043478261,85.90652173913043,0
57,2,2,2,0,0,58.75,3437.45,1.030701754385965,60.30614035087719,0
72,2,2,2,2,2,45.25,3139.8,0.6284722222222222,43.608333333333334,0
66,2,2,2,2,2,56.6,3789.2,0.8575757575757575,57.41212121212121,0
65,0,2,2,2,2,84.2,5324.5,1.2953846153846154,81.91538461538461,0
8,0,0,0,0,0,80.0,624.6,10.0,78.075,0
4,0,0,0,0,0,70.15,268.35,17.5375,67.0875,1
71,1,1,1,1,2,24.75,1836.9,0.3485915492957746,25.871830985915494,0
1,1,1,1,1,1,20.2,20.2,20.2,20.2,0
4,0,0,0,2,0,50.05,179.35,12.5125,44.8375,1
12,1,1,1,1,1,19.35,219.35,1.6125,18.279166666666665,0
24,2,0,0,0,1,50.6,1288.75,2.1083333333333334,53.697916666666664,0
31,2,0,2,2,1,81.15,2545.75,2.6177419354838714,82.12096774193549,0
1,0,0,0,0,0,55.2,55.2,55.2,55.2,1
30,0,0,0,2,0,89.9,2723.15,2.996666666666667,90.77166666666668,0
47,2,2,0,2,2,85.3,4107.25,1.8148936170212766,87.38829787234043,0
54,2,2,0,2,2,108.0,5760.65,2.0,106.6787037037037,0
50,2,2,0,2,0,93.5,4747.5,1.87,94.95,0
1,2,0,0,0,0,84.6,84.6,84.6,84.6,1
72,1,1,1,1,2,20.25,1566.9,0.28125,21.762500000000003,0
29,1,1,1,1,0,25.15,702.0,0.8672413793103447,24.20689655172414,0
2,0,2,0,0,0,54.4,114.1,27.2,57.05,1
10,0,0,0,2,2,29.6,299.05,2.96,29.905,0
18,0,0,0,0,0,73.15,1305.95,4.063888888888889,72.55277777777778,0
11,0,2,0,0,0,95.0,1120.3,8.636363636363637,101.84545454545454,1
16,1,1,1,1,2,19.75,284.35,1.234375,17.771875,0
72,0,2,2,2,2,86.6,6350.5,1.2027777777777777,88.20138888888889,0
72,0,2,2,2,2,109.2,7878.3,1.5166666666666666,109.42083333333333,0
41,2,0,0,2,1,74.7,3187.65,1.8219512195121952,77.74756097560976,0
65,2,2,2,0,0,94.4,6126.15,1.4523076923076923,94.24846153846153,0
13,0,2,2,0,0,54.8,731.3,4.2153846153846155,56.25384615384615,0
4,2,0,0,0,0,75.35,273.4,18.8375,68.35,0
41,0,0,2,0,1,65.0,2531.8,1.5853658536585367,61.75121951219513,0
15,0,2,0,0,0,74.4,1074.3,4.96,71.61999999999999,1
1,2,0,0,0,0,48.55,48.55,48.55,48.55,1
42,2,2,2,0,1,99.0,4298.45,2.357142857142857,102.34404761904761,0
51,2,2,2,0,1,93.5,4619.55,1.8333333333333333,90.57941176470588,0
2,0,0,0,0,0,70.4,147.15,35.2,73.575,1
1,0,2,0,0,0,40.2,40.2,40.2,40.2,1
32,0,2,2,2,1,83.7,2633.3,2.615625,82.290625,0
10,1,1,1,1,0,19.85,193.05,1.985,19.305,0
67,0,2,2,2,2,59.55,4103.9,0.8888059701492537,61.252238805970144,0
61,2,2,2,2,2,115.1,7008.15,1.8868852459016392,114.88770491803278,0
50,2,2,2,2,1,114.35,5791.1,2.287,115.822,0
2,0,0,0,0,0,44.6,80.55,22.3,40.275,1
29,2,0,2,0,0,45.0,1228.65,1.5517241379310345,42.36724137931035,0
3,0,0,2,0,0,41.15,132.2,13.716666666666667,44.06666666666666,1
13,0,2,2,0,0,106.9,1364.3,8.223076923076924,104.94615384615385,1
57,0,2,0,0,0,89.85,4925.35,1.5763157894736841,86.40964912280702,0
31,2,2,0,2,2,49.85,1520.1,1.6080645161290323,49.03548387096774,0
45,2,2,2,2,1,113.3,5032.25,2.517777777777778,111.82777777777778,0
61,2,2,2,2,2,88.1,5526.75,1.444262295081967,90.60245901639344,0
50,1,1,1,1,2,24.9,1195.25,0.498,23.905,0
19,2,2,0,2,0,105.0,2007.25,5.526315789473684,105.64473684210526,0
59,1,1,1,1,2,19.35,1099.6,0.3279661016949153,18.63728813559322,1
71,1,1,1,1,2,24.25,1732.95,0.3415492957746479,24.40774647887324,0
16,0,0,0,2,0,94.45,1511.2,5.903125,94.45,1
57,2,2,0,2,2,59.75,3450.15,1.0482456140350878,60.52894736842106,0
1,0,0,0,0,0,24.8,24.8,24.8,24.8,1
20,0,2,0,2,0,107.05,2172.05,5.3525,108.6025,0
1,0,0,0,0,0,70.6,70.6,70.6,70.6,1
5,0,2,0,2,0,85.4,401.1,17.080000000000002,80.22,1
52,0,2,2,0,0,105.05,5624.85,2.020192307692308,108.17019230769232,1
21,2,2,0,0,0,64.95,1339.8,3.092857142857143,63.8,0
14,0,0,2,2,0,55.0,771.95,3.9285714285714284,55.13928571428572,0
5,0,2,0,0,0,50.55,244.75,10.11,48.95,0
6,2,2,0,0,0,55.15,322.9,9.191666666666666,53.81666666666666,0
10,0,2,0,0,0,51.2,498.25,5.12,49.825,0
1,1,1,1,1,0,25.4,25.4,25.4,25.4,0
68,2,0,0,0,0,54.45,3687.75,0.8007352941176471,54.231617647058826,0
18,0,0,2,0,0,95.15,1779.95,5.286111111111111,98.88611111111112,1
22,0,0,0,0,1,76.0,1783.6,3.4545454545454546,81.07272727272726,0
20,0,0,0,0,0,44.35,927.15,2.2175000000000002,46.3575,0
1,0,0,0,0,0,70.0,70.0,70.0,70.0,1
8,0,2,0,0,0,74.5,606.55,9.3125,75.81875,1
10,0,0,0,0,0,44.85,435.4,4.485,43.54,1
24,0,0,0,0,0,76.1,1712.7,3.170833333333333,71.3625,1
35,2,2,2,0,1,61.2,2021.2,1.7485714285714287,57.74857142857143,0
23,0,2,2,2,1,86.8,1940.8,3.773913043478261,84.38260869565217,0
6,0,0,0,0,0,89.35,567.8,14.891666666666666,94.63333333333333,0
12,1,1,1,1,0,19.7,220.35,1.6416666666666666,18.3625,0
1,1,1,1,1,0,20.25,20.25,20.25,20.25,0
71,0,0,2,0,2,76.05,5436.45,1.0711267605633803,76.56971830985916,0
35,0,0,2,0,0,100.8,3437.5,2.88,98.21428571428571,0
40,0,0,2,0,0,74.55,3015.75,1.86375,75.39375,0
1,2,0,0,0,0,73.6,73.6,73.6,73.6,1
23,0,0,0,0,1,64.9,1509.8,2.821739130434783,65.64347826086956,0
4,0,0,0,0,0,95.45,396.1,23.8625,99.025,1
4,0,0,2,2,0,90.4,356.65,22.6,89.1625,0
68,0,2,2,2,2,60.3,4109.0,0.8867647058823529,60.4264705882353,0
38,0,2,0,0,0,81.85,3141.7,2.1539473684210524,82.67631578947368,0
52,1,1,1,1,2,24.8,1229.1,0.47692307692307695,23.63653846153846,0
32,0,0,0,0,0,74.9,2303.35,2.340625,71.9796875,1
29,0,0,2,2,2,75.55,2054.4,2.6051724137931034,70.84137931034483,0
38,0,2,0,0,0,101.15,3741.85,2.6618421052631582,98.46973684210526,0
48,2,0,2,0,1,78.75,3682.45,1.640625,76.71770833333333,0
1,1,1,1,1,0,19.25,19.25,19.25,19.25,0
22,2,0,0,2,0,89.05,1886.25,4.047727272727273,85.73863636363636,0
43,2,2,2,2,2,115.05,4895.1,2.675581395348837,113.83953488372094,0
5,0,0,0,0,0,69.35,341.6,13.87,68.32000000000001,0
5,0,0,0,0,0,80.6,415.55,16.119999999999997,83.11,1
51,2,2,0,2,1,110.05,5686.4,2.157843137254902,111.49803921568626,0
71,1,1,1,1,2,19.9,1355.1,0.28028169014084503,19.085915492957746,0
38,2,2,0,2,1,80.3,3058.65,2.113157894736842,80.49078947368422,1
24,0,0,2,0,0,93.15,2231.05,3.88125,92.96041666666667,1
35,0,0,0,2,0,91.5,3236.35,2.6142857142857143,92.46714285714286,0
54,2,2,0,2,1,82.45,4350.1,1.526851851851852,80.55740740740741,1
72,0,2,2,2,2,60.0,4264.0,0.8333333333333334,59.22222222222222,0
1,0,0,0,0,0,44.8,44.8,44.8,44.8,0
9,2,0,0,0,1,48.6,422.3,5.4,46.922222222222224,0
69,2,2,0,2,2,60.05,4176.7,0.8702898550724637,60.53188405797101,0
52,0,2,0,2,0,102.7,5138.1,1.975,98.8096153846154,0
11,0,0,0,2,0,82.9,880.05,7.536363636363637,80.00454545454545,0
2,0,0,0,0,0,70.35,139.05,35.175,69.525,1
28,0,0,0,0,0,35.9,973.65,1.282142857142857,34.77321428571428,0
17,0,0,2,0,0,82.65,1470.05,4.861764705882353,86.4735294117647,0
35,1,1,1,1,2,19.85,739.35,0.5671428571428572,21.124285714285715,0
8,1,1,1,1,1,19.2,161.95,2.4,20.24375,0
46,0,2,2,0,1,94.9,4422.95,2.0630434782608695,96.15108695652174,0
7,0,0,0,0,0,73.85,511.25,10.549999999999999,73.03571428571429,1
2,0,0,2,0,0,80.6,155.8,40.3,77.9,1
68,0,2,2,2,1,75.8,5293.95,1.1147058823529412,77.85220588235293,1
43,0,2,2,0,2,104.6,4759.85,2.4325581395348834,110.69418604651163,1
68,2,2,2,2,2,88.15,6148.45,1.2963235294117648,90.41838235294118,0
36,0,2,0,0,0,94.8,3565.65,2.6333333333333333,99.04583333333333,0
63,0,2,2,0,0,103.4,6603.0,1.6412698412698414,104.80952380952381,1
32,0,2,0,2,0,54.65,1830.1,1.7078125,57.190625,0
71,2,2,2,2,2,85.75,6223.8,1.2077464788732395,87.65915492957747,0
66,2,2,2,0,0,67.45,4508.65,1.021969696969697,68.31287878787879,0
63,1,1,1,1,1,20.5,1328.15,0.3253968253968254,21.081746031746032,0
41,1,1,1,1,1,20.25,865.0,0.49390243902439024,21.097560975609756,0
1,0,0,0,0,0,72.1,72.1,72.1,72.1,0
2,0,0,0,0,0,90.4,168.2,45.2,84.1,1
70,1,1,1,1,2,19.45,1303.5,0.27785714285714286,18.62142857142857,0
23,0,0,0,0,0,44.95,996.85,1.9543478260869567,43.34130434782609,0
64,2,2,2,0,1,97.0,6430.9,1.515625,100.4828125,0
37,2,0,2,2,2,62.8,2278.75,1.6972972972972973,61.58783783783784,0
17,0,0,0,0,1,44.6,681.4,2.623529411764706,40.08235294117647,0
7,0,0,0,0,0,89.15,574.35,12.735714285714286,82.05,0
4,0,2,2,0,0,84.8,371.9,21.2,92.975,1
21,2,0,0,0,0,41.9,840.1,1.9952380952380953,40.00476190476191,1
10,0,0,0,0,0,80.25,846.0,8.025,84.6,1
16,2,0,0,0,0,54.1,889.0,3.38125,55.5625,0
64,0,2,0,2,2,105.25,6823.4,1.64453125,106.615625,0
27,2,0,0,0,0,30.75,805.1,1.1388888888888888,29.81851851851852,1
42,2,0,0,0,1,97.1,4016.75,2.3119047619047617,95.63690476190476,0
5,1,1,1,1,0,20.2,83.75,4.04,16.75,0
41,0,2,0,2,2,98.8,3959.15,2.4097560975609755,96.56463414634146,0
58,0,0,2,0,1,50.3,2878.55,0.8672413793103447,49.630172413793105,0
47,1,1,1,1,2,20.55,945.7,0.4372340425531915,20.121276595744682,0
18,0,0,0,2,0,75.9,1373.05,4.216666666666667,76.28055555555555,0
5,0,0,2,0,0,96.5,492.55,19.3,98.51,1
23,2,0,0,0,0,59.95,1406.0,2.606521739130435,61.130434782608695,0
1,1,1,1,1,0,19.15,19.15,19.15,19.15,0
71,0,0,2,0,1,98.65,6962.85,1.38943661971831,98.06830985915494,0
72,2,2,2,2,2,112.6,8126.65,1.5638888888888889,112.87013888888889,0
33,1,1,1,1,1,20.6,690.25,0.6242424242424243,20.916666666666668,0
2,0,0,0,0,0,85.65,181.5,42.825,90.75,1
24,2,0,0,2,2,35.75,830.8,1.4895833333333333,34.61666666666667,0
56,0,2,2,2,1,99.75,5608.4,1.78125,100.14999999999999,0
37,0,2,0,0,0,96.1,3646.8,2.597297297297297,98.56216216216217,0
43,0,2,2,2,1,85.1,3662.25,1.9790697674418603,85.1686046511628,0
1,0,0,0,0,0,25.35,25.35,25.35,25.35,0
25,0,0,2,2,0,104.95,2566.5,4.198,102.66,1
61,2,2,2,2,2,89.65,5308.7,1.4696721311475411,87.02786885245901,0
17,0,0,2,2,1,86.75,1410.25,5.102941176470588,82.95588235294117,0
